name,guard_name,prefix

admin-list,admin,Admin
admin-create,admin,Admin
admin-edit,admin,Admin
admin-delete,admin,Admin
admin-status,admin,Admin
admin-details,admin,Admin
admin-trash,admin,Admin
admin-restore,admin,Admin
admin-permanent-delete,admin,Admin

role-list,admin,Role
role-create,admin,Role
role-edit,admin,Role
role-delete,admin,Role
role-details,admin,Role
role-trash,admin,Role
role-restore,admin,Role
role-permanent-delete,admin,Role

permission-list,admin,Permission
permission-create,admin,Permission
permission-edit,admin,Permission
permission-delete,admin,Permission
permission-details,admin,Permission
permission-trash,admin,Permission
permission-restore,admin,Permission
permission-permanent-delete,admin,Permission

credit-list,admin,Credit
credit-create,admin,Credit
credit-edit,admin,Credit
credit-delete,admin,Credit
credit-details,admin,Credit
credit-trash,admin,Credit
credit-restore,admin,Credit
credit-permanent-delete,admin,Credit

category-list,admin,category
category-create,admin,category
category-edit,admin,category
category-show,admin,category
category-trash,admin,category

game-list,admin,game
game-create,admin,game
game-edit,admin,game
game-show,admin,game
game-trash,admin,game

gameplatform-list,admin,gameplatform
gameplatform-create,admin,gameplatform
gameplatform-edit,admin,gameplatform
gameplatform-show,admin,gameplatform
gameplatform-trash,admin,gameplatform

gameserver-show,admin,gameserver
gameserver-trash,admin,gameserver

language-list,admin,language
language-create,admin,language

offer-list,admin,offer

product-list,admin,product
product-create,admin,product
product-edit,admin,product
product-show,admin,product
product-trash,admin,product

producttype-list,admin,producttype
producttype-create,admin,producttype
producttype-edit,admin,producttype
producttype-show,admin,producttype
producttype-trash,admin,producttype

pageview-list,admin,pageview
pageview-show,admin,pageview
pageview-trash,admin,pageview

achievement-list,admin,achievement
achievement-create,admin,achievement
achievement-edit,admin,achievement
achievement-show,admin,achievement
achievement-trash,admin,achievement

rank-list,admin,rank
rank-create,admin,rank
rank-edit,admin,rank
rank-show,admin,rank
rank-trash,admin,rank

currency-list,admin,currency
currency-create,admin,currency
currency-edit,admin,currency
currency-show,admin,currency
currency-trash,admin,currency

generalsettings-list,admin,generalsettings
generalsettings-create,admin,generalsettings
generalsettings-edit,admin,generalsettings
generalsettings-show,admin,generalsettings
generalsettings-trash,admin,generalsettings

language-list,admin,language
language-create,admin,language
language-edit,admin,language
language-show,admin,language
language-trash,admin,language

user-list,admin,user
user-create,admin,user
user-edit,admin,user
user-view,admin,user
user-trash,admin,user
user-profileInfo,admin,user
user-shopInfo,admin,user
user-kycInfo,admin,user
user-statistic,admin,user
user-referral,admin,user

auditing-list,admin,auditing
auditing-view,admin,auditing



